"Latest: Time (s)","Latest: Current (A)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0,-0.167388916016,-0.626754760742,-3.30142974854
0.001,-0.167770385742,-0.626754760742,-3.30142974854
0.002,-0.167770385742,-0.626754760742,-3.30142974854
0.003,-0.167388916016,-0.626754760742,-3.29761505127
0.004,-0.167388916016,-0.626754760742,-3.29761505127
0.005,-0.167007446289,-0.626754760742,-3.293800354
0.006,-0.167770385742,-0.622940063477,-3.293800354
0.007,-0.167388916016,-0.619125366211,-3.293800354
0.008,-0.111351013184,6.25,-2.18849182129
0.009,0.0723838806152,2.52590179443,1.4778137207
0.01,0.134906768799,1.25637054443,2.72026062012
0.011,0.155868530273,0.825691223145,3.14331054688
0.012,0.163497924805,0.67310333252,3.29570770264
0.013,0.165786743164,0.623512268066,3.33766937256
0.014,0.166931152344,0.604438781738,3.35292816162
0.015,0.166931152344,0.596809387207,3.36055755615
0.016,0.16731262207,0.593185424805,3.36055755615
0.017,0.166931152344,0.589370727539,3.36437225342
0.018,0.16731262207,0.593185424805,3.36055755615
0.019,0.166931152344,0.593185424805,3.36055755615
0.02,0.16731262207,0.593185424805,3.36055755615
